word,err,n
apparatchik,0.500,8
trattoria,0.250,8
perestroika,0.125,8
prosciutto,0.125,8
glockenspiel,0.000,8
vivace,0.000,8
raconteur,0.000,8
weimaraner,0.571,7
sassafras,0.429,7
philately,0.429,7
cynosure,0.429,7
dossier,0.429,7
wedel,0.286,7
garibaldi,0.286,7
mandir,0.286,7
hafiz,0.286,7
mynheer,0.286,7
mahout,0.143,7
ersatz,0.143,7
fahrenheit,0.143,7
nenuphar,0.143,7
raita,0.143,7
gymkhana,0.143,7
balalaika,0.143,7
baedeker,0.143,7
jacamar,0.143,7
peccadillo,0.143,7
alcazar,0.143,7
taiga,0.000,7
schottische,0.000,7
schadenfreude,0.000,7
keeshond,0.500,6
pickelhaube,0.500,6
rasgado,0.500,6
cappelletti,0.500,6
segue,0.500,6
virgule,0.500,6
braggadocio,0.333,6
ocarina,0.333,6
tokamak,0.333,6
edelweiss,0.333,6
charlatan,0.333,6
basmati,0.333,6
gesundheit,0.333,6
vaquero,0.333,6
gnathonic,0.333,6
pizzicato,0.333,6
pfeffernuss,0.333,6
madeleine,0.167,6
kielbasa,0.167,6
mihrab,0.167,6
chauvinism,0.167,6
repertoire,0.167,6
saboteur,0.167,6
paradigm,0.167,6
gynarchy,0.167,6
kohlrabi,0.167,6
coati,0.167,6
qatari,0.167,6
serdab,0.167,6
hypocrisy,0.167,6
bildungsroman,0.167,6
apartheid,0.167,6
ameliorate,0.167,6
soliloquy,0.167,6
shrieval,0.167,6
trepak,0.167,6
taupe,0.167,6
bhalu,0.167,6
sarsaparilla,0.167,6
schnecke,0.167,6
gourami,0.000,6
blitzkrieg,0.000,6
springerle,0.000,6
fusillade,0.000,6
poignant,0.000,6
rendezvous,0.000,6
ipecac,0.000,6
echt,0.000,6
dahlia,0.000,6
embarcadero,0.000,6
conquistador,0.000,6
capricious,0.000,6
tchotchke,0.000,6
ocelot,0.000,6
egregious,0.000,6
hyperbole,0.000,6
recalcitrant,0.000,6
mercerize,0.000,6
maraschino,0.000,6
sauerbraten,0.000,6
surveillance,0.000,6
archipelago,0.000,6
pernicious,0.000,6
karaoke,0.000,6
exacerbate,0.000,6
commissar,0.800,5
voortrekker,0.600,5
peroration,0.600,5
palaver,0.600,5
asana,0.600,5
kirtle,0.400,5
gendarme,0.400,5
topeng,0.400,5
muishond,0.400,5
anomaly,0.400,5
chevelure,0.400,5
douane,0.400,5
nisei,0.400,5
galjoen,0.400,5
novillero,0.400,5
philippic,0.400,5
witloof,0.400,5
ingenue,0.400,5
fennec,0.200,5
deipnosophist,0.200,5
jnana,0.200,5
caballero,0.200,5
philhellenism,0.200,5
scherzo,0.200,5
sachem,0.200,5
weissnichtwo,0.200,5
intaglio,0.200,5
hartebeest,0.200,5
masala,0.200,5
tanha,0.200,5
recidivist,0.200,5
debacle,0.200,5
wainscot,0.200,5
mozzarella,0.200,5
