origin,pct,n
thyl + pi,0.000,1
after August von,0.000,1
plegic + O,0.000,1
prob from the name,0.000,2
urban district in Wales,0.000,1
German (influenced in meaning by,0.000,1
of Tibetan origin; akin to Tibetan (Central dialects),0.000,1
euphemism,0.000,1
New Sanskrit,0.000,1
alteration of Mary,0.000,1
former province in eastern Russia,0.000,1
Thomas R.,0.000,2
Sinhalese,0.000,1
by shortening,0.000,1
probably alteration of earlier,0.000,1
imaginary country in the novel,0.000,2
after Filippo,0.000,1
Luisa,0.000,1
Twi,0.000,1
after Baron Karl Friedrich Hieronymus von,0.000,1
ultimately from,0.000,1
from or akin to Twi,0.000,1
Samuel,0.000,2
William J. M.,0.000,1
perhaps irregularly from Greek,0.000,1
us legendary last king of the Assyrian empire (from Latin,0.000,1
Medieval Latin & New Latin,0.000,1
Edmond,0.000,2
Assyro-Babylonian,0.000,1
after Lord,0.000,1
Karl,0.000,10
ignorant lawyer in,0.000,1
benzo,0.000,1
from (assumed) New Latin,0.000,1
ation +,0.000,1
irregularly from Greek,0.000,1
from Italian,0.000,3
Hindi & Urda,0.000,1
New Hebrew,0.000,1
modification of Persian,0.000,1
Saxony,0.000,1
probably from Dutch,0.000,2
probably modification of Middle French,0.000,1
modification of Greek,0.000,1
American French & French; American French,0.000,3
village in southwest Sweden,0.000,1
partial translation of German,0.000,1
probably modification (influenced by Greek,0.000,1
John L.,0.000,2
alteration of obsolete,0.000,3
plural of,0.000,1
probably from Persian,0.000,1
Mt.,0.000,1
Tupi,0.000,1
William A.,0.000,1
John Philip,0.000,1
villainous hypnotist in the novel,0.000,2
Louisiana French & French,0.000,2
probably modification of Italian,0.000,1
us,0.000,1
Italian (past participle of,0.000,1
Theater,0.000,1
modification of German dialect (Swiss),0.000,1
Sherpa (Tibetan dialect of the Sherpas),0.000,1
Daniel G.,0.000,6
after Gottlieb,0.000,1
native name in East Africa,0.000,1
Coast,0.000,1
Jack D.,0.000,1
Swedish or Danish or Norwegian,0.000,1
Navajo,0.000,1
fictional kingdom in the novel,0.000,1
king of Epirus who sustained heavy losses in defeating the Romans,0.000,2
Alessandro,0.000,2
perhaps from Kannada,0.000,2
(probably irregular from,0.000,2
phthyl (a derivative of naphthalene) +,0.000,1
Greek  — more at,0.000,1
kingdom in Africa,0.000,1
allax +,0.000,1
Baron von,0.000,1
probably irregular from Greek,0.000,3
locality in,0.000,2
optimistic tutor in Voltaire's,0.000,4
perhaps from Ned,0.000,1
ial +,0.000,1
a tie of lace for the neck,0.000,2
Chinook,0.000,1
France,0.000,4
from obsolete French,0.000,1
nickname of the family adopted as surname,0.000,1
Peninsula,0.000,2
ene +,0.000,1
Swedish dialect,0.000,1
Balti,0.000,1
brother of Atreus who unwittingly ate the flesh of his children,0.000,2
obsolete Dutch,0.000,1
om +,0.000,1
vorotary (levorotary) + ni,0.000,1
probably from International Scientific Vocabulary,0.000,1
Marquise de,0.000,1
Fair,0.000,1
Scottish Gaelic or Irish; Scottish Gaelic,0.000,1
short for earlier,0.000,1
Wilkins,0.000,1
Middle English (also,0.000,1
borrowed from New Latin,0.000,3
+ New Latin,0.000,1
ultimately from Evenki (Tungusic language of Siberia),0.000,1
Act + English,0.000,1
Late Latin & Greek; Late Latin,0.000,1
s- +,0.000,2
prince of devils,0.000,3
James,0.000,2
Provençal,0.000,1
H. L.,0.000,1
perhaps from Japanese,0.000,1
borrowed from Latin,0.000,1
a wealthy Persian,0.000,3
probably irregular from,0.000,1
obsolete slang,0.000,1
borrowed from Canadian French & Modern Greek; Canadian French,0.000,1
Dan,0.000,2
fortress in the British colony of Gibraltar,0.000,4
Czech,0.000,1
German & French; German,0.000,1
from the reproach to the church of the Laodiceans in Rev 3:15–16,0.000,2
after J.,0.000,1
gadro +,0.000,1
of Chinese origin; akin to Chinese (Beijing),0.000,1
German dialect (Swiss),0.000,1
modification of French dialect (Swiss),0.000,1
François A.N.C.,0.000,1
Middle English  — more at,0.000,1
Sir Charles,0.000,1
New Latin (,0.000,1
S. J. P.,0.000,2
incantation used by the comic-strip hero Captain Marvel,0.000,1
Charles Anderson Worsley,0.000,1
te,0.000,1
chitectural e,0.000,2
estate near Inverness,0.000,1
Nicolaus,0.000,1
obsolete Irish Gaelic,0.000,1
Ga (Kwa language of coastal Ghana),0.000,2
I died,0.000,1
Niccolo,0.000,1
us + English,0.000,1
Seth,0.000,1
headquarters of the Tammany Society,0.000,3
ancient city of Italy known for its luxury (from Latin) + English,0.000,1
(blend of Victorien,0.000,1
Rolf Maximilian,0.000,1
dye and tapestry works,0.000,1
river and lake in No. Carolina,0.000,1
short for German,0.000,2
Norwegian or Icelandic,0.000,1
after François,0.000,2
Trofim,0.000,1
Charles Boyle †1731 4th Earl of,0.000,1
from the phrase,0.000,1
probably native name in Australia,0.000,1
borough + English,0.000,1
ultimately from Arabic,0.000,1
Malayalam,0.000,1
king of Lydia,0.200,10
probably from Old English,0.200,10
Louisiana French,0.286,7
French & Italian; French,0.286,7
American French,0.333,6
St.,0.333,3
Italian dialect (southern Italy),0.333,3
horse market,0.333,3
perhaps from obsolete Dutch,0.333,3
England,0.333,3
from (assumed) Greek,0.333,3
from Passama,0.333,3
Lake,0.333,3
Netherlands,0.333,6
Chinese (Xiamen),0.333,3
"",0.350,20
modification (influenced by,0.400,5
after,0.400,5
Hebrew,0.450,20
Joseph,0.500,2
uminum +,0.500,2
(alteration of,0.500,2
Italian & New Latin; Italian,0.500,2
Old Norse,0.500,2
probably modification of French,0.500,2
Samuel A.,0.500,2
probably from Italian,0.500,4
(irregular from Greek,0.500,2
Irish Gaelic,0.500,2
after George,0.500,2
probably alteration of British dialect,0.500,2
alteration of Middle English,0.500,14
Nahuatl,0.500,2
after Captain,0.500,8
acetani,0.500,2
irregular (influenced by Latin,0.500,2
Rudolph,0.500,2
Modern Hebrew,0.500,4
Rudolf,0.500,2
bo +,0.500,2
from the demon-possessed,0.500,2
ure +,0.500,2
Tamil,0.500,4
eal +,0.500,2
of Scandinavian origin; akin to Old Norse,0.500,2
China; from the former use of this method to secure sailors for voyages to eastern Asia,0.500,2
Charles A. de,0.500,2
probably back-formation from,0.500,2
es +,0.500,2
alteration (influenced by French,0.500,2
eter +,0.500,2
Bartolommeo,0.500,2
from the name,0.500,2
Medieval Latin & Latin; Medieval Latin,0.500,2
valley of the Aire River,0.500,4
Norwegian,0.500,10
perhaps from the name,0.500,2
os +,0.500,2
modification of Russian,0.500,2
Middle French or Medieval Latin; Middle French,0.500,2
Scotland,0.500,2
from Middle English,0.500,2
F.J.H. Somerset,0.500,2
ety +,0.500,2
Bavaria,0.500,2
(,0.500,4
probably modification of Lingala,0.500,2
French & Latin; French,0.500,2
+ Latin,0.522,23
Spanish  — more at,0.571,7
from,0.579,38
Middle French & Latin; Middle French,0.583,12
American Spanish,0.595,42
earlier,0.600,5
probably from the name,0.600,5
perhaps alteration of,0.600,5
Virginia Algonquian,0.600,5
Sanskrit,0.614,44
Persian,0.625,16
perhaps from,0.625,8
Swedish,0.625,8
from Latin,0.632,19
probably from French,0.632,19
Canadian French,0.636,11
back-formation from,0.640,25
Russian,0.654,104
part translation of Latin,0.667,3
manent + Latin,0.667,3
personification of boasting in,0.667,6
ous +,0.667,3
India,0.667,3
Latin & Greek; Latin,0.667,3
probably by folk etymology from obsolete Dutch,0.667,3
short for,0.667,6
Irish,0.667,3
probably modification (influenced by English,0.667,3
perhaps modification of French,0.667,3
Dharuk (Australian aboriginal language of the Port Jackson area),0.667,3
+ (assumed) Greek,0.667,3
by shortening & alteration from,0.667,3
Modern Greek,0.667,6
Thomas,0.667,3
us +,0.667,9
irregular from,0.667,9
Bengali,0.667,3
Italian (superlative of,0.667,3
French or Late Latin; French,0.667,3
modification of Middle French,0.667,3
(from,0.667,3
perhaps from Dutch,0.667,3
New Latin,0.681,771
ultimately from Greek,0.684,19
Portuguese,0.688,32
Mexican Spanish,0.690,29
or,0.692,13
German,0.694,369
irregular from Greek,0.700,10
Medieval Latin,0.705,129
Latin,0.711,1373
Turkish,0.714,7
probably from New Latin,0.714,7
International Scientific Vocabulary,0.720,232
French,0.724,1212
+ Greek,0.727,33
Italian,0.729,376
Afrikaans,0.733,45
Spanish,0.735,170
Late Latin,0.736,311
Greek,0.739,422
Yiddish,0.739,46
+,0.745,55
Brazilian Portuguese,0.750,4
Maori,0.750,4
modification of French,0.750,8
blend of,0.750,12
ultimately from Latin,0.750,4
probably alteration of obsolete,0.750,4
from the,0.750,4
Tagalog,0.750,4
Late Hebrew,0.750,4
from New Latin,0.750,8
of Algonquian origin; akin to Narragansett,0.750,4
origin unknown,0.753,85
French or Latin; French,0.769,13
imitative,0.769,13
Middle French,0.773,185
Dutch dialect,0.778,9
Middle English,0.782,1263
Japanese,0.785,107
probably from,0.786,14
Middle French or Latin; Middle French,0.786,14
Hindi,0.786,42
Don,0.800,5
probably from German,0.800,5
obsolete,0.800,10
obsolete Afrikaans (now,0.800,5
Pali,0.800,5
Hindi & Urdu,0.815,27
probably from (assumed) New Latin,0.818,11
Dutch,0.821,28
Chinese (Beijing),0.833,6
Latin  — more at,0.833,6
Scottish Gaelic,0.833,6
(from Greek,0.833,6
obsolete English,0.833,6
Hungarian,0.833,6
(as in,0.840,25
Hawaiian,0.844,32
Arabic,0.846,65
French (,0.857,7
Narragansett,0.857,7
alteration of,0.857,21
modification of Italian,0.857,7
probably alteration of,0.875,8
modification of Latin,0.875,8
Javanese,0.875,16
in sense 1,0.875,8
alteration of earlier,0.882,17
Polish,0.889,9
Middle English (Scots),0.889,9
(see,0.892,65
Late Greek,0.895,19
Middle Greek,0.900,10
Anglo-French,0.929,14
the,1.000,3
modification of Italian dialect (Liguria),1.000,1
Wik Munkan (Australian aboriginal language of northern Queensland),1.000,2
from (,1.000,1
from Late Latin,1.000,3
ies +,1.000,2
obsolete French,1.000,6
+ obsolete,1.000,1
Nyungar (Australian aboriginal language of southwest Western Australia),1.000,1
partly from Middle English,1.000,1
Middle Dutch,1.000,1
old gate and fish market,1.000,1
ume +,1.000,2
alteration (influenced by Chinese — Guangdong —,1.000,1
Middle French & Late Latin; Middle French,1.000,2
Count Ferdinand von,1.000,4
French (also,1.000,1
probably ultimately from obsolete French,1.000,2
Tuamotu,1.000,1
from the sport of baiting badgers,1.000,1
adjective,1.000,4
Antoine,1.000,1
German  — more at,1.000,1
Haitian Creole,1.000,1
ent +,1.000,3
participle translation of Late Greek or Middle Greek,1.000,1
obsolete Dutch/Latin,1.000,1
district of Scotland,1.000,1
alteration (probably influenced by French,1.000,1
um +,1.000,1
borrowed from Spanish,1.000,1
Icelandic,1.000,1
modification of Yuwaalaraay (Australian aboriginal language of northern New South Wales),1.000,1
(probably from,1.000,2
innkeeper in,1.000,1
Finnish,1.000,1
Telugu,1.000,2
Middle French & Spanish; Middle French,1.000,2
Middle French or Late Latin; Middle French,1.000,3
ary +,1.000,1
modification of New Latin,1.000,1
borrowed from Greek,1.000,1
of Scandinavian origin; akin to Norwegian dialect,1.000,1
former province in Kyushu,1.000,1
Lower Chehalis (Salishan language of western Washington),1.000,2
Crimea,1.000,1
phthene +,1.000,1
Narraganset,1.000,1
probably imitative,1.000,1
+ ana,1.000,1
modification of Spanish,1.000,3
French or New Latin; French,1.000,1
Danish; akin to Old Norse,1.000,1
Lille,1.000,1
(Tiziano Vecellio),1.000,1
Middle English; akin to Old English,1.000,1
borrowed from New Latin (Linnaeus)/Sanskrit,1.000,1
of Bantu origin; akin to Kongo,1.000,1
blend of Latin,1.000,1
Latin; akin to Old English,1.000,1
Middle English/origin unknown,1.000,2
